Математика,Физика,Русский язык
100,100,100
100,100,100
100,100,100
100,100,100
99,100,100
100,100,98
98,100,100
98,100,100
99,100,98
99,100,98
98,97,100
100,100,96
100,100,100
100,100,100
100,100,94
99,99,96
98,100,96
99,100,92
98,97,96
96,99,98
100,100,98
100,100,98
100,100,98
100,100,92
100,100,92
100,100,92
98,100,100
94,100,98
94,100,98
92,100,100
100,97,100
100,93,98
98,97,96
100,100,96
100,100,90
99,95,96
98,100,92
94,100,96
94,100,94
90,100,98
100,99,96
100,95,94
100,100,88
98,100,88
96,100,90
94,100,100
94,100,94
100,99,92
100,95,92
99,99,94
98,100,92
96,99,94
100,97,88
99,100,90
94,91,100
99,91,100
98,100,86
94,100,96
94,100,96
94,100,90
90,100,94
100,100,94
96,100,98
99,100,84
98,93,92
92,95,94
96,100,92
96,100,86
88,100,98
98,100,94
100,89,92
98,97,92
98,87,100
96,93,98
96,93,92
92,99,88
92,93,96
86,95,98
99,95,98
100,100,86
100,100,80
98,100,88
94,100,92
100,95,96
94,100,96
100,89,94
96,100,87
96,97,92
96,87,96
92,89,98
100,100,94
99,97,88
99,95,90
98,100,80
90,100,94
99,99,96
99,97,98
94,100,100
100,83,100
92,95,96
88,89,100
98,95,94
92,97,96
90,97,100
100,100,82
99,95,88
99,83,94
92,100,90
90,100,86
86,100,96
94,96,96
94,100,100
100,99,82
98,93,88
96,95,84
96,93,86
92,97,92
88,89,98
96,100,90
92,97,96
92,97,96
92,100,88
86,100,94
84,100,96
98,89,98
100,100,90
100,87,92
99,100,80
98,89,86
88,93,98
86,95,92
100,91,98
94,95,94
92,95,96
100,100,94
96,100,92
100,99,100
92,100,86
92,87,98
100,100,88
90,100,92
100,95,90
92,97,98
98,87,92
98,85,94
96,97,84
96,96,85
99,93,90
100,87,94
94,95,92
94,95,90
92,97,92
88,97,94
99,91,96
94,93,89
90,100,86
88,97,91
99,96,91
99,93,88
94,100,86
99,100,86
98,99,94
98,93,94
92,93,98
96,100,100
98,93,84
96,93,78
90,93,92
88,95,86
82,99,94
98,93,92
90,95,94
100,97,98
94,99,96
99,89,84
86,93,94
94,100,94
98,91,84
96,95,82
96,87,90
94,99,80
90,87,90
88,96,89
76,97,98
98,89,96
96,93,94
86,95,94
92,99,96
99,97,94
100,87,94
88,97,94
99,99,94
90,100,100
98,97,96
99,78,94
94,93,84
90,85,96
88,87,90
86,91,94
84,93,94
84,83,96
96,85,92
94,93,94
94,91,94
92,89,98
94,100,86
100,93,92
98,95,98
98,91,96
96,95,94
99,100,96
94,86,84
100,93,82
99,89,92
94,97,88
94,89,96
86,99,94
99,99,92
99,89,96
100,95,94
98,100,94
86,99,78
96,89,96
92,85,96
98,87,98
96,93,100
90,99,94
90,97,96
96,100,98
99,85,84
86,85,91
98,92,82
100,87,96
94,93,94
88,95,92
92,100,94
98,87,82
88,83,96
94,91,92
94,87,94
90,95,84
84,100,98
98,97,92
98,95,94
94,98,89
94,97,90
94,93,94
92,95,92
88,99,94
88,93,100
100,100,86
96,100,96
92,100,94
92,97,100
99,87,80
94,74,98
92,76,98
88,91,92
98,93,88
96,91,94
92,97,86
84,100,94
98,97,90
92,100,98
92,85,86
100,83,92
92,85,98
90,100,85
90,96,89
86,91,98
92,92,96
100,91,94
98,97,90
98,83,98
94,91,94
92,93,92
84,99,96
92,99,98
99,87,82
94,80,94
92,89,96
84,100,92
82,100,96
96,89,98
92,99,98
92,97,94
90,97,96
88,99,96
82,87,88
92,95,86
92,89,86
92,100,80
98,95,90
96,89,90
94,95,88
94,91,92
90,97,88
88,91,98
100,86,98
99,91,92
96,95,96
90,97,100
98,97,100
100,89,73
86,91,85
84,100,78
100,97,82
99,97,86
84,100,92
96,89,100
94,97,96
88,87,78
86,93,82
82,85,94
96,76,94
98,81,94
92,93,86
90,89,92
88,91,90
86,89,96
90,85,100
88,87,98
86,99,96
86,89,98
94,95,96
94,91,100
94,72,94
94,93,88
88,91,96
86,99,90
86,87,96
96,100,78
88,94,98
86,100,88
96,87,96
88,99,92
100,100,82
96,100,88
94,83,82
84,91,84
80,93,96
96,93,90
96,91,92
94,93,92
94,93,86
94,91,94
92,97,90
92,89,92
90,99,88
90,93,90
90,91,90
90,89,94
90,89,94
88,85,98
86,95,92
84,97,98
82,93,98
96,99,86
94,99,88
96,72,90
90,91,92
84,98,91
99,85,88
96,100,82
92,100,80
84,88,100
90,89,98
100,94,88
88,100,94
98,97,92
94,95,96
82,85,90
99,76,92
92,89,86
92,89,86
86,83,90
82,91,94
98,95,84
94,91,86
94,87,88
90,91,96
90,87,94
88,93,96
88,91,92
86,95,94
100,91,88
94,91,96
90,93,96
84,72,94
82,68,98
100,85,86
98,81,92
90,90,91
88,99,78
88,87,96
84,85,96
90,100,86
78,100,98
100,93,88
90,93,92
88,91,96
86,97,90
86,91,98
84,95,96
86,100,94
86,89,80
80,91,82
92,89,84
92,89,84
100,87,88
94,95,86
94,89,92
90,87,92
88,93,86
88,91,96
86,87,94
84,91,94
100,91,94
96,93,94
90,95,100
86,95,98
90,100,94
98,74,80
88,86,80
84,78,86
92,78,92
92,81,90
88,100,81
86,95,88
84,97,98
80,95,98
100,85,98
96,95,92
86,80,92
96,97,72
88,87,82
84,90,89
82,92,94
100,91,76
93,95,87
90,91,86
88,95,88
86,99,88
84,95,92
84,83,98
98,89,88
90,97,96
90,97,90
80,85,92
94,64,98
90,83,88
94,100,88
92,100,90
94,95,98
94,97,98
86,93,80
84,80,96
98,81,92
96,90,85
82,93,88
86,100,84
94,91,96
90,93,98
80,97,98
92,100,94
86,100,100
86,100,92
80,81,94
86,87,87
88,85,90
82,100,88
78,100,90
90,93,90
88,85,96
84,99,92
92,99,98
90,89,80
90,83,84
74,95,90
92,91,86
88,89,92
84,99,86
84,87,98
82,93,88
80,91,92
86,88,100
96,87,90
90,99,90
88,89,96
82,93,96
86,100,96
96,95,90
86,99,96
95,83,87
88,87,86
78,89,96
94,89,84
78,100,94
94,85,98
90,95,98
84,99,94
86,100,96
98,91,98
88,99,98
84,91,85
86,85,90
82,97,88
88,100,84
96,89,92
92,85,94
88,95,94
88,95,94
86,99,86
82,100,100
90,100,96
96,81,84
86,89,86
74,91,96
86,92,90
92,93,86
90,87,94
86,83,94
80,93,92
92,95,89
94,93,88
90,95,94
86,93,94
82,95,98
96,93,100
94,97,100
86,80,84
84,83,88
96,91,78
92,89,84
88,87,90
94,85,90
90,89,98
84,97,94
80,95,100
92,91,96
88,95,96
82,81,94
96,78,90
92,83,94
86,91,86
84,85,94
96,93,90
92,93,94
94,97,98
94,97,92
92,100,96
90,85,78
86,88,89
82,91,84
100,78,88
90,81,96
86,87,94
86,87,92
82,93,92
78,81,90
96,78,88
90,87,90
88,91,88
86,95,86
92,91,92
90,97,90
88,97,92
84,93,94
98,100,94
82,81,82
84,91,80
78,93,90
96,81,94
96,81,94
94,93,84
92,93,84
88,89,88
82,91,98
80,91,94
86,99,90
94,64,82
80,72,82
84,78,90
88,83,86
94,93,88
90,89,90
96,85,96
99,78,86
88,89,92
82,95,92
80,91,98
96,85,92
92,85,96
90,93,90
88,95,96
88,72,88
84,78,96
86,81,96
84,85,94
82,87,94
76,91,94
94,80,94
92,81,94
90,91,92
86,89,90
84,87,94
100,87,96
94,93,96
82,74,90
88,97,72
84,83,90
92,85,90
86,83,90
84,93,90
86,80,100
88,91,92
86,93,98
84,97,90
96,95,90
96,89,96
94,85,82
88,83,88
86,100,73
80,89,86
96,89,86
92,95,84
88,97,86
84,85,94
90,95,96
99,91,96
100,84,73
90,83,82
82,81,92
62,87,100
96,74,90
84,89,86
96,85,94
92,89,88
84,87,98
90,78,80
86,78,90
86,74,86
94,81,78
88,93,78
86,93,80
86,83,90
84,85,90
80,78,100
96,97,76
90,85,94
82,91,90
94,85,92
90,97,92
86,100,98
82,72,92
100,79,76
82,83,92
92,91,90
86,93,88
82,89,96
94,80,98
90,91,96
95,66,88
80,80,96
82,93,86
82,87,92
94,74,96
86,91,98
78,83,70
86,72,90
88,89,86
88,81,92
90,95,86
90,85,90
88,91,86
88,85,92
76,72,86
86,70,94
99,81,78
84,74,96
90,85,90
80,83,96
94,85,96
88,91,90
86,93,94
78,81,90
84,80,94
95,98,76
82,87,100
94,91,88
88,81,84
72,85,94
84,78,90
92,89,82
82,97,84
78,85,94
98,87,88
88,83,100
86,85,96
96,61,90
72,85,82
94,76,82
82,68,96
88,83,86
82,86,89
80,83,86
78,83,88
90,91,84
90,89,88
86,83,92
88,100,84
86,80,100
90,83,98
88,93,60
90,72,78
78,80,88
98,78,80
92,76,88
88,76,86
86,78,92
78,80,98
78,100,86
88,87,90
86,87,92
84,93,94
82,87,96
78,93,100
84,100,84
74,89,87
78,89,88
92,95,73
92,76,86
88,91,80
88,81,90
80,89,96
74,87,98
90,76,96
84,74,86
80,89,80
88,83,82
78,93,88
76,91,90
86,100,78
90,83,90
78,83,100
86,80,86
82,78,100
82,85,96
90,80,92
90,87,96
82,97,94
82,89,94
92,58,72
80,83,94
74,83,94
82,83,91
84,89,78
88,85,88
86,97,78
84,88,89
82,87,86
78,76,86
80,85,90
92,100,73
86,85,94
80,91,94
82,66,73
74,80,80
95,70,86
84,70,94
92,91,76
92,85,82
88,80,91
86,81,86
82,81,94
80,87,86
78,89,92
86,78,94
88,95,84
86,93,88
80,74,84
82,91,80
78,81,92
84,80,94
88,85,88
80,93,90
74,93,96
86,72,84
84,81,82
90,72,88
88,81,85
88,83,86
80,87,90
84,90,82
74,86,96
80,93,94
78,97,92
82,70,88
76,72,92
90,74,94
78,76,96
84,85,86
86,68,98
82,78,94
86,68,80
76,72,96
72,100,82
94,87,78
88,91,82
80,100,84
90,68,90
96,81,76
78,81,94
82,70,98
80,76,96
84,81,67
78,70,94
78,91,78
94,87,73
76,85,96
76,68,92
78,78,90
88,89,76
76,93,92
86,78,76
90,78,82
76,85,88
84,72,88
82,87,90
82,83,88
80,60,92
80,74,90
62,60,94
72,62,86
68,76,80
80,78,78
78,83,80
98,70,78
92,62,92
84,83,84
76,99,78
80,78,92
80,74,96
76,72,82
70,80,80
82,83,80
82,59,90
90,74,80
86,68,100
82,74,82
86,78,73
86,64,98
80,91,82
78,66,88
88,91,73
84,90,78
76,60,86
68,85,88
90,76,80
84,83,78
72,62,86
74,81,80
80,76,84
80,57,82
80,68,86
90,64,90
86,72,86
76,85,88
72,83,88
84,72,82
72,83,88
99,61,72
76,80,86
68,80,86
82,89,76
78,83,86
74,85,80
84,76,84
88,76,71
82,74,88
86,61,86
74,64,88
62,64,100
82,60,94
78,83,80
62,58,98
78,72,90
80,70,84
70,78,80
80,81,71
82,68,88
76,70,90
78,60,72
78,80,76
74,64,88
70,64,73
68,70,88
80,60,80
74,68,72
70,55,82
72,64,78
78,57,80
70,60,80
70,57,69
62,61,76
